sample	label
GSM1228197	colorectal
GSM1177221	prostate
GSM988637	
GSM1228191	colorectal
GSM1097789	
GSM1177220	prostate
GSM1154037	prostate
GSM862357	prostate
GSM1113310	breast
GSM1228227	
GSM1171525	breast
GSM937180	
GSM1234529	prostate
GSM862353	prostate
GSM1171527	breast
GSM1177219	prostate
GSM937160	breast
GSM937178	
GSM1228189	colorectal
GSM1234526	prostate
GSM1177216	prostate
GSM1113308	breast
GSM1228222	
GSM1228225	
GSM988638	
GSM1234523	prostate
GSM1113301	breast
GSM1234527	prostate
GSM862354	prostate
GSM1177209	prostate
GSM1177211	prostate
GSM1097787	
GSM862356	prostate
GSM1234530	prostate
GSM1228198	colorectal
GSM1113307	breast
GSM1234525	prostate
GSM1228192	colorectal
GSM1234528	prostate
GSM1228200	colorectal
GSM1228184	colorectal
GSM1177218	prostate
GSM1113302	breast
GSM1228199	colorectal
GSM1177208	prostate
GSM1234521	prostate
GSM1228229	
GSM1228223	
GSM1113298	breast
GSM937175	
GSM1097788	
GSM1113311	breast
GSM984371	prostate
GSM1228232	
GSM1113305	breast
GSM1228188	colorectal
GSM1228224	
GSM937172	
GSM937176	
GSM1228193	colorectal
GSM1177217	prostate
GSM1177214	prostate
GSM937168	breast
GSM937174	
GSM937179	
GSM1113299	breast
GSM984369	prostate
GSM1113309	breast
GSM1228234	
GSM1228221	
GSM1228228	
GSM1177215	prostate
GSM1234524	prostate
GSM937164	breast
GSM1228231	
GSM1228190	colorectal
GSM1228220	
GSM937163	breast
GSM937162	breast
GSM1177212	prostate
GSM1177213	prostate
GSM1113304	breast
GSM1154039	breast
GSM862352	prostate
GSM1228196	colorectal
GSM1177210	prostate
GSM1228236	
GSM937167	breast
GSM1228230	
GSM937166	breast
GSM1154038	prostate
GSM1228186	colorectal
GSM937170	breast
GSM1228187	colorectal
GSM1228233	
GSM1234531	prostate
GSM937171	
GSM1234522	prostate
GSM1113306	breast
GSM1113303	breast
GSM1228185	colorectal
GSM1228195	colorectal
GSM1234532	prostate
GSM1228194	colorectal
GSM1228235	
GSM1154040	breast
GSM1228237	
GSM862355	prostate
GSM1228201	colorectal
GSM1113300	breast
GSM1228226	
GSM1401701	breast
GSM1555725	prostate
GSM1556181	breast
GSM1401724	breast
GSM1956988	lung
GSM2157838	colorectal
GSM1712121	prostate
GSM1401678	breast
GSM1431879	breast
GSM1897337	breast
GSM1540973	
GSM1359239	prostate
GSM2267403	gastric
GSM2300455	lung
GSM1897288	breast
GSM1726308	prostate
GSM2285418	
GSM1712128	prostate
GSM1401710	breast
GSM1555728	prostate
GSM1537306	breast
GSM1540975	
GSM1957022	lung
GSM1401743	breast
GSM1555730	prostate
GSM1712129	prostate
GSM1401726	breast
GSM1897290	breast
GSM1401759	breast
GSM1533420	breast
GSM2100876	pancreatic
GSM1306820	colorectal
GSM2285422	
GSM1897277	breast
GSM2300452	lung
GSM1593778	
GSM1412747	colorectal
GSM1593804	
GSM1431880	breast
GSM1401742	breast
GSM1401755	breast
GSM1401794	
GSM1401757	breast
GSM1956985	lung
GSM2285415	
GSM1716731	ovarian
GSM1328164	prostate
GSM2100869	pancreatic
GSM1897348	breast
GSM1401730	breast
